Ingredient Name,Unit of Measurement,Purchase Unit,Conversion Factor,Cost Per Unit,Category,Description,Minimum Stock Level,Current Stock,Storage Temperature,Is Perishable,Shelf Life Days,Brand,Active,Available
Kasturi Methi ,packet,packet,100,44.0,Spices,,12.0,0.0,room_temperature,False,,PUNEET MASALA ,True,True
Pani Puri Masala ,kg,packet,100,67.0,Spices,,0.0,0.0,room_temperature,False,,AMAZING ,True,True
Jeera  ,kg,packet,1000,241.0,Spices,,3.0,0.0,room_temperature,False,,,True,True
Salt White Pouch  250,packet,packet,250,50.0,Spices,,0.0,0.0,room_temperature,False,,,True,True
Salt Black Pouch 250 ,packet,packet,250,160.0,Spices,,0.0,0.0,room_temperature,False,,,True,True
Methi Sabut ,kg,packet,1000,94.0,Spices,,1.0,0.0,room_temperature,False,,,True,True
Rai ,kg,packet,1000,75.6,Spices,,1.0,0.0,room_temperature,False,,,True,True
Amchur ,kg,packet,1000,150.0,Spices,,1.0,0.0,room_temperature,False,,,True,True
Haldi Powder ,kg,packet,1000,208.0,Spices,,7.0,0.0,room_temperature,False,,,True,True
Red Chilli Powder ,kg,packet,1000,194.0,Spices,,3.0,0.0,room_temperature,False,,,True,True
Dhania Powder ,kg,packet,1000,134.0,Spices,,3.0,0.0,room_temperature,False,,,True,True
Red Chilli Sabut ,kg,packet,1000,169.0,Spices,,2.0,0.0,room_temperature,False,,,True,True
Dhania Sabut ,kg,packet,1000,93.0,Spices,,2.0,0.0,room_temperature,False,,,True,True
Black Pepper ,kg,packet,1000,360.0,Spices,,1.0,0.0,room_temperature,False,,,True,True
Dal Chini ,kg,packet,1000,260.0,Spices,,0.5,0.0,room_temperature,False,,,True,True
Elachi Big ,kg,packet,1000,1950.0,Spices,,0.0,0.0,room_temperature,False,,,True,True
Star Phool ,kg,packet,1000,380.0,Spices,,0.0,0.0,room_temperature,False,,,True,True
Tez Pata ,kg,packet,1000,100.0,Spices,,0.0,0.0,room_temperature,False,,,True,True
Elachi Hari ,kg,packet,1000,3200.0,Spices,,0.2,0.0,room_temperature,False,,,True,True
Kalonji,kg,packet,1000,266.77,Spices,,0.0,0.0,room_temperature,False,,,True,True
Long,kg,packet,1000,780.0,Spices,,0.2,0.0,room_temperature,False,,,True,True
Javetri,kg,packet,1000,1872.0,Spices,,0.0,0.0,room_temperature,False,,,True,True
Black Salt ,kg,packet,1000,30.0,Spices,,1.0,0.0,room_temperature,False,,,True,True
Khada Masala ,kg,packet,1000,1256.0,Spices,,2.0,0.0,room_temperature,False,,,True,True
Aromat Seasoning Powder,packet,packet,500,215.0,Spices,,0.0,0.0,room_temperature,False,,KNORR,True,True
Bileching Powder,packet,packet,1000,32.06,Spices,,5.0,0.0,room_temperature,False,,,True,True
Peri Peri Masala,packet,packet,100,150.0,Spices,,0.0,0.0,room_temperature,False,,,True,True
Sugar Loose ,kg,packet,1000,43.5,Sugar,,50.0,0.0,room_temperature,False,,,True,True
Sugar Candy ,kg,packet,1000,54.0,Sugar,,2.0,0.0,room_temperature,False,,,True,True
Sugar Cube ,kg,packet,500,48.0,Sugar,,2.0,0.0,room_temperature,False,,DAURALA ,True,True
Sugar Free,packet,packet,75,100.0,Sugar,,1.0,0.0,room_temperature,False,,,True,True
Staff Rice ,kg,packet,1000,36.0,Rice,,60.0,0.0,room_temperature,False,,,True,True
Briyani Rice 48 No.,kg,packet,1000,64.5,Rice,,0.0,0.0,room_temperature,False,,AMEENA ,True,True
Briyani Rice 52 No.,kg,packet,1000,67.74,Rice,,0.0,0.0,room_temperature,False,,,True,True
Guest Rice ,kg,packet,1000,43.0,Rice,,60.0,0.0,room_temperature,False,,JEEBA ,True,True
Dosa Kani ,kg,packet,1000,35.0,Rice,,0.0,0.0,room_temperature,False,,JEEBA ,True,True
Dawat Rice ,kg,packet,1000,99.75,Rice,,0.0,0.0,room_temperature,False,,JASAL A ONE ,True,True
Briyani Rice  ,kg,packet,1000,68.5,Rice,,30.0,0.0,room_temperature,False,,INDIA GATE ,True,True
Regular Choice Rice ,kg,packet,1000,74.2,Rice,,0.0,0.0,room_temperature,False,,INDIA GATE ,True,True
Mushroom Button ,can,can,800,86.45,Tin,,10.0,0.0,room_temperature,False,,FRUTINS,True,True
Mushroom Slice ,can,can,800,58.3,Tin,,5.0,0.0,room_temperature,False,,FRUTINS,True,True
Pineapple Slice ,can,can,840,85.87,Tin,,0.0,0.0,room_temperature,False,,FRUTINS,True,True
Fruit Cocktail ,can,can,840,85.87,Tin,,4.0,0.0,room_temperature,False,,FRUTINS,True,True
Tomato Puree,can,can,825,47.83,Tin,,15.0,0.0,room_temperature,False,,FRUTINS,True,True
