Ingredient Name,Unit of Measurement,Purchase Unit,Conversion Factor,Cost Per Unit,Category,Description,Minimum Stock Level,Current Stock,Storage Temperature,Is Perishable,Shelf Life Days,Brand,Active,Available
Thandai,liter,bottle,1000,345,Beverages biscuits ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Kitchen King ,packet,packet,100,63.65,Spices ,,21,0,room_temperature,FALSE,,TATA ,TRUE,TRUE
Chole Masala ,packet,packet,100,62.31,Spices ,,3,0,room_temperature,FALSE,,TATA ,TRUE,TRUE
Chat Masala ,packet,packet,100,60.3,Spices ,,6,0,room_temperature,FALSE,,TATA ,TRUE,TRUE
Meat Masala ,packet,packet,100,65,Spices ,,,0,room_temperature,FALSE,,TATA ,TRUE,TRUE
Chicken Masala ,packet,packet,100,65,Spices ,,2,0,room_temperature,FALSE,,TATA ,TRUE,TRUE
Salt ,packet,packet,1,25,Spices ,,,0,room_temperature,FALSE,,TATA ,TRUE,TRUE
Salt ,packet,packet,1,13.7,Spices ,,70,0,room_temperature,FALSE,,NIRMA ,TRUE,TRUE
Salt ,packet,packet,1,6.64,Spices ,,,0,room_temperature,FALSE,,TAPARIA ,TRUE,TRUE
Salt Sandha,packet,packet,1,34,Spices ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Briyani Masala ,packet,packet,50,61,Spices ,,2,0,room_temperature,FALSE,,CATCH ,TRUE,TRUE
Tea Masala ,packet,packet,50,49,Spices ,,,0,room_temperature,FALSE,,CATCH ,TRUE,TRUE
Hing ,liter,bottle,100,188,Spices ,,7,0,room_temperature,FALSE,,CATCH ,TRUE,TRUE
Kashmiri Lal Red Chilli Powder ,kg,packet,1000,640,Spices ,,4,0,room_temperature,FALSE,,CATCH ,TRUE,TRUE
Rajma Masala ,packet,packet,100,64,Spices ,,1,0,room_temperature,FALSE,,CATCH ,TRUE,TRUE
Sambhar Masala ,packet,packet,100,88,Spices ,,2,0,room_temperature,FALSE,,CATCH ,TRUE,TRUE
Pav Bhaji Masala ,packet,packet,100,75,Spices ,,,0,room_temperature,FALSE,,CATCH ,TRUE,TRUE
White Pepper Masala ,kg,packet,1000,1500,Spices ,,,0,room_temperature,FALSE,,CATCH ,TRUE,TRUE
Rasam Masala ,packet,packet,100,57,Spices ,,,0,room_temperature,FALSE,,FLAVARICH ,TRUE,TRUE
Kasturi Methi ,packet,packet,100,44,Spices ,,15,0,room_temperature,FALSE,,PUNEET MASALA ,TRUE,TRUE
Pani Puri Masala ,kg,packet,100,67,Spices ,,,0,room_temperature,FALSE,,AMAZING ,TRUE,TRUE
Jeera  ,kg,packet,1000,241,Spices ,,4,0,room_temperature,FALSE,,,TRUE,TRUE
